job_title,level,salary,location,skills,source
Software Engineer,Senior,65 triệu,Remote,"Azure, Machine Learning, NoSQL, Kubernetes",Sample data for demo purposes
Fullstack Developer,Junior,25 triệu,Hanoi,"Node.js, Python, SQL, Machine Learning",Sample data for demo purposes
Backend Developer,Mid-level,40 triệu,Remote,"React, Azure",Sample data for demo purposes
Software Engineer,Senior,45 triệu,Hanoi,"Java, React, JavaScript",Sample data for demo purposes
Backend Developer,Junior,14 triệu,Ho Chi Minh,"React, Java",Sample data for demo purposes
Fullstack Developer,Mid-level,25 triệu,Remote,"Docker, SQL, Kubernetes, React",Sample data for demo purposes
Mobile Developer,Senior,55 triệu,Ho Chi Minh,"Docker, Kubernetes",Sample data for demo purposes
Backend Developer,Senior,65 triệu,Ho Chi Minh,"Kubernetes, Azure, Node.js, SQL",Sample data for demo purposes
Frontend Developer,Lead,85 triệu,Ho Chi Minh,"SQL, Node.js, Python",Sample data for demo purposes
QA Engineer,Senior,65 triệu,Ho Chi Minh,"Java, SQL, Kubernetes, Machine Learning",Sample data for demo purposes
Mobile Developer,Junior,10 triệu,Hanoi,"Python, Node.js, JavaScript, Azure, Docker",Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Remote,"JavaScript, Node.js, Docker, Deep Learning",Sample data for demo purposes
Software Engineer,Mid-level,40 triệu,Ho Chi Minh,"Java, Azure, SQL, Kubernetes, Deep Learning",Sample data for demo purposes
Fullstack Developer,Senior,40 triệu,Da Nang,"Python, Kubernetes",Sample data for demo purposes
Business Analyst,Mid-level,40 triệu,Hanoi,"NoSQL, JavaScript, Java, AWS, Kubernetes",Sample data for demo purposes
Business Analyst,Senior,70 triệu,Hanoi,"Docker, React, Deep Learning, Java, SQL",Sample data for demo purposes
QA Engineer,Junior,20 triệu,Hanoi,"GCP, Python, Docker",Sample data for demo purposes
DevOps Engineer,Mid-level,40 triệu,Hanoi,"Deep Learning, Docker, Kubernetes, Python, Node.js",Sample data for demo purposes
Project Manager,Mid-level,30 triệu,Ho Chi Minh,"Docker, Azure, NoSQL, Python, Machine Learning",Sample data for demo purposes
Software Engineer,Senior,50 triệu,Ho Chi Minh,"Machine Learning, Deep Learning",Sample data for demo purposes
Business Analyst,Senior,65 triệu,Hanoi,"JavaScript, NoSQL",Sample data for demo purposes
Mobile Developer,Senior,60 triệu,Ho Chi Minh,"Azure, Machine Learning",Sample data for demo purposes
Frontend Developer,Senior,45 triệu,Hanoi,"SQL, GCP, React",Sample data for demo purposes
DevOps Engineer,Mid-level,40 triệu,Ho Chi Minh,"Java, Python, Machine Learning, Node.js, SQL",Sample data for demo purposes
Fullstack Developer,Mid-level,35 triệu,Hanoi,"Node.js, Machine Learning",Sample data for demo purposes
Business Analyst,Mid-level,40 triệu,Ho Chi Minh,"Kubernetes, NoSQL, GCP",Sample data for demo purposes
Project Manager,Mid-level,40 triệu,Ho Chi Minh,"JavaScript, Azure, Docker",Sample data for demo purposes
Backend Developer,Senior,50 triệu,Others,"SQL, React, Kubernetes",Sample data for demo purposes
QA Engineer,Mid-level,30 triệu,Hanoi,"AWS, Kubernetes",Sample data for demo purposes
Frontend Developer,Mid-level,45 triệu,Ho Chi Minh,"Docker, Java, Node.js, Deep Learning",Sample data for demo purposes
Mobile Developer,Mid-level,30 triệu,Ho Chi Minh,"Kubernetes, Deep Learning, Docker",Sample data for demo purposes
Data Analyst,Senior,50 triệu,Ho Chi Minh,"Deep Learning, Machine Learning, NoSQL, Node.js",Sample data for demo purposes
Data Analyst,Senior,60 triệu,Ho Chi Minh,"SQL, Node.js, Python",Sample data for demo purposes
DevOps Engineer,Senior,40 triệu,Hanoi,"NoSQL, Deep Learning, Python, Kubernetes, Machine Learning",Sample data for demo purposes
Data Analyst,Senior,60 triệu,Ho Chi Minh,"AWS, Azure, JavaScript",Sample data for demo purposes
Business Analyst,Mid-level,35 triệu,Ho Chi Minh,"GCP, Machine Learning, SQL, AWS",Sample data for demo purposes
Mobile Developer,Senior,40 triệu,Ho Chi Minh,"Node.js, Machine Learning, Deep Learning, Kubernetes",Sample data for demo purposes
QA Engineer,Mid-level,40 triệu,Hanoi,"SQL, Machine Learning, Azure, Docker",Sample data for demo purposes
Software Engineer,Mid-level,30 triệu,Da Nang,"Python, React, Node.js, Docker, Deep Learning",Sample data for demo purposes
QA Engineer,Senior,60 triệu,Ho Chi Minh,"JavaScript, Docker, Kubernetes, Azure",Sample data for demo purposes
Frontend Developer,Manager,135 triệu,Da Nang,"React, Azure",Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Ho Chi Minh,"SQL, Deep Learning",Sample data for demo purposes
Backend Developer,Senior,45 triệu,Ho Chi Minh,"React, AWS, Machine Learning",Sample data for demo purposes
Backend Developer,Lead,70 triệu,Hanoi,"JavaScript, Azure",Sample data for demo purposes
DevOps Engineer,Senior,50 triệu,Ho Chi Minh,"Node.js, AWS",Sample data for demo purposes
Software Engineer,Intern,9 triệu,Ho Chi Minh,"Azure, GCP",Sample data for demo purposes
Frontend Developer,Mid-level,35 triệu,Ho Chi Minh,"NoSQL, Deep Learning, Machine Learning, Python",Sample data for demo purposes
Fullstack Developer,Mid-level,50 triệu,Hanoi,"Azure, Machine Learning, AWS, Docker",Sample data for demo purposes
Data Scientist,Junior,15 triệu,Da Nang,"Python, Machine Learning, NoSQL",Sample data for demo purposes
Mobile Developer,Intern,10 triệu,Da Nang,"NoSQL, Machine Learning, Docker, Node.js, JavaScript",Sample data for demo purposes
Product Manager,Junior,25 triệu,Ho Chi Minh,"Deep Learning, Kubernetes, React, SQL, NoSQL",Sample data for demo purposes
Data Analyst,Junior,9 triệu,Ho Chi Minh,"React, Machine Learning, Node.js, Kubernetes",Sample data for demo purposes
Software Engineer,Junior,14 triệu,Hanoi,"SQL, Machine Learning",Sample data for demo purposes
Frontend Developer,Senior,50 triệu,Ho Chi Minh,"Python, React",Sample data for demo purposes
Product Manager,Junior,17 triệu,Others,"Machine Learning, Azure",Sample data for demo purposes
Backend Developer,Senior,55 triệu,Ho Chi Minh,"Deep Learning, JavaScript, NoSQL",Sample data for demo purposes
QA Engineer,Senior,55 triệu,Ho Chi Minh,"JavaScript, Deep Learning, Kubernetes",Sample data for demo purposes
Software Engineer,Junior,25 triệu,Hanoi,"Python, AWS, Java, GCP, SQL",Sample data for demo purposes
DevOps Engineer,Intern,9 triệu,Ho Chi Minh,"Kubernetes, Docker, React, Python",Sample data for demo purposes
Data Analyst,Intern,11 triệu,Ho Chi Minh,"React, Java, Machine Learning, Deep Learning",Sample data for demo purposes
Product Manager,Junior,18 triệu,Da Nang,"Azure, Docker, SQL",Sample data for demo purposes
Fullstack Developer,Senior,55 triệu,Hanoi,"Docker, AWS, Azure, Kubernetes, JavaScript",Sample data for demo purposes
Frontend Developer,Mid-level,35 triệu,Hanoi,"JavaScript, Azure, SQL, React",Sample data for demo purposes
Software Engineer,Mid-level,40 triệu,Da Nang,"Node.js, React, AWS",Sample data for demo purposes
Software Engineer,Senior,45 triệu,Ho Chi Minh,"AWS, Node.js, Java, React",Sample data for demo purposes
Data Scientist,Junior,7 triệu,Hanoi,"Python, Java",Sample data for demo purposes
DevOps Engineer,Junior,13 triệu,Ho Chi Minh,"Java, Python, Kubernetes, Machine Learning, Node.js",Sample data for demo purposes
Project Manager,Mid-level,35 triệu,Ho Chi Minh,"Deep Learning, Azure, GCP, Node.js",Sample data for demo purposes
QA Engineer,Mid-level,35 triệu,Ho Chi Minh,"Java, Machine Learning, Node.js",Sample data for demo purposes
Frontend Developer,Senior,40 triệu,Ho Chi Minh,"Docker, Azure",Sample data for demo purposes
Software Engineer,Lead,90 triệu,Hanoi,"React, Azure",Sample data for demo purposes
Backend Developer,Senior,65 triệu,Remote,"Node.js, Python",Sample data for demo purposes
Fullstack Developer,Senior,55 triệu,Ho Chi Minh,"AWS, Azure, GCP",Sample data for demo purposes
Data Analyst,Senior,40 triệu,Hanoi,"Kubernetes, Machine Learning",Sample data for demo purposes
Frontend Developer,Senior,40 triệu,Da Nang,"NoSQL, GCP, Node.js",Sample data for demo purposes
Software Engineer,Manager,85 triệu,Hanoi,"Kubernetes, Node.js, Machine Learning",Sample data for demo purposes
Frontend Developer,Senior,70 triệu,Hanoi,"AWS, Java, JavaScript, NoSQL, Docker",Sample data for demo purposes
Business Analyst,Mid-level,30 triệu,Da Nang,"JavaScript, Kubernetes, Python, AWS, Deep Learning",Sample data for demo purposes
Data Scientist,Junior,14 triệu,Ho Chi Minh,"Azure, NoSQL, Kubernetes, Machine Learning",Sample data for demo purposes
Mobile Developer,Mid-level,40 triệu,Ho Chi Minh,"SQL, Node.js",Sample data for demo purposes
Data Analyst,Mid-level,35 triệu,Ho Chi Minh,"GCP, Java, AWS",Sample data for demo purposes
Data Scientist,Senior,40 triệu,Hanoi,"Azure, Docker, SQL",Sample data for demo purposes
Backend Developer,Mid-level,35 triệu,Da Nang,"Deep Learning, Docker",Sample data for demo purposes
Mobile Developer,Senior,50 triệu,Ho Chi Minh,"React, GCP, Node.js, Kubernetes, AWS",Sample data for demo purposes
Software Engineer,Mid-level,50 triệu,Ho Chi Minh,"Kubernetes, AWS, NoSQL, Python, Deep Learning",Sample data for demo purposes
QA Engineer,Senior,55 triệu,Da Nang,"Machine Learning, Azure",Sample data for demo purposes
Project Manager,Junior,20 triệu,Ho Chi Minh,"Kubernetes, AWS",Sample data for demo purposes
Data Analyst,Junior,18 triệu,Ho Chi Minh,"Azure, Docker",Sample data for demo purposes
Mobile Developer,Mid-level,30 triệu,Hanoi,"Deep Learning, Kubernetes, Java, React",Sample data for demo purposes
QA Engineer,Junior,7 triệu,Hanoi,"Kubernetes, NoSQL",Sample data for demo purposes
Project Manager,Mid-level,30 triệu,Hanoi,"Deep Learning, React, AWS, NoSQL",Sample data for demo purposes
Fullstack Developer,Junior,14 triệu,Ho Chi Minh,"Node.js, Kubernetes, Deep Learning, GCP, NoSQL",Sample data for demo purposes
DevOps Engineer,Junior,17 triệu,Da Nang,"React, Node.js",Sample data for demo purposes
Fullstack Developer,Senior,50 triệu,Da Nang,"SQL, GCP, Machine Learning",Sample data for demo purposes
Product Manager,Junior,12 triệu,Remote,"GCP, Docker, Machine Learning",Sample data for demo purposes
Data Analyst,Senior,60 triệu,Ho Chi Minh,"Python, Kubernetes, JavaScript",Sample data for demo purposes
Data Scientist,Junior,25 triệu,Ho Chi Minh,"GCP, Kubernetes",Sample data for demo purposes
Frontend Developer,Senior,45 triệu,Ho Chi Minh,"AWS, Machine Learning",Sample data for demo purposes
Mobile Developer,Junior,20 triệu,Remote,"SQL, NoSQL, Node.js, React",Sample data for demo purposes
Fullstack Developer,Mid-level,40 triệu,Hanoi,"Kubernetes, Docker, NoSQL",Sample data for demo purposes
Project Manager,Senior,70 triệu,Da Nang,"Python, JavaScript, NoSQL",Sample data for demo purposes
Mobile Developer,Mid-level,30 triệu,Da Nang,"JavaScript, Kubernetes",Sample data for demo purposes
Project Manager,Mid-level,40 triệu,Hanoi,"Docker, JavaScript, Java",Sample data for demo purposes
Fullstack Developer,Senior,65 triệu,Hanoi,"Deep Learning, React",Sample data for demo purposes
Backend Developer,Mid-level,25 triệu,Hanoi,"NoSQL, Azure, React, GCP",Sample data for demo purposes
QA Engineer,Junior,11 triệu,Ho Chi Minh,"JavaScript, Deep Learning, Kubernetes",Sample data for demo purposes
Product Manager,Senior,75 triệu,Hanoi,"AWS, JavaScript, Java",Sample data for demo purposes
Project Manager,Mid-level,45 triệu,Ho Chi Minh,"Deep Learning, Azure, NoSQL, SQL, Java",Sample data for demo purposes
Business Analyst,Junior,6 triệu,Ho Chi Minh,"Node.js, SQL, Docker",Sample data for demo purposes
DevOps Engineer,Senior,60 triệu,Ho Chi Minh,"Node.js, AWS, React",Sample data for demo purposes
Project Manager,Mid-level,20 triệu,Da Nang,"NoSQL, Python, Java, SQL",Sample data for demo purposes
Data Analyst,Junior,17 triệu,Hanoi,"React, Deep Learning, Docker, JavaScript, Kubernetes",Sample data for demo purposes
Data Analyst,Mid-level,45 triệu,Ho Chi Minh,"Azure, AWS, Deep Learning, Java",Sample data for demo purposes
QA Engineer,Senior,55 triệu,Remote,"Kubernetes, Python, GCP, React",Sample data for demo purposes
QA Engineer,Senior,65 triệu,Ho Chi Minh,"JavaScript, AWS, SQL, Deep Learning",Sample data for demo purposes
Data Scientist,Lead,80 triệu,Da Nang,"Azure, GCP, Machine Learning",Sample data for demo purposes
Project Manager,Junior,17 triệu,Ho Chi Minh,"Deep Learning, Java",Sample data for demo purposes
Data Scientist,Senior,60 triệu,Hanoi,"Azure, Node.js, SQL, Kubernetes",Sample data for demo purposes
Data Analyst,Mid-level,30 triệu,Ho Chi Minh,"Machine Learning, Java",Sample data for demo purposes
Data Scientist,Mid-level,45 triệu,Ho Chi Minh,"Java, Kubernetes",Sample data for demo purposes
Mobile Developer,Mid-level,40 triệu,Hanoi,"AWS, NoSQL, Kubernetes, Python",Sample data for demo purposes
Product Manager,Mid-level,45 triệu,Ho Chi Minh,"Kubernetes, Deep Learning",Sample data for demo purposes
Project Manager,Mid-level,35 triệu,Hanoi,"SQL, GCP",Sample data for demo purposes
Backend Developer,Mid-level,25 triệu,Da Nang,"GCP, Python, JavaScript, Node.js, Docker",Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Remote,"AWS, Node.js, Kubernetes",Sample data for demo purposes
Fullstack Developer,Senior,40 triệu,Others,"Kubernetes, Java",Sample data for demo purposes
Frontend Developer,Intern,10 triệu,Hanoi,"Docker, React, Kubernetes",Sample data for demo purposes
Data Scientist,Mid-level,45 triệu,Hanoi,"SQL, AWS",Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Hanoi,"Kubernetes, GCP",Sample data for demo purposes
Project Manager,Junior,19 triệu,Hanoi,"Azure, Docker, Kubernetes",Sample data for demo purposes
Frontend Developer,Senior,60 triệu,Ho Chi Minh,"Docker, Azure, SQL",Sample data for demo purposes
QA Engineer,Junior,25 triệu,Remote,"NoSQL, Docker",Sample data for demo purposes
Mobile Developer,Junior,17 triệu,Ho Chi Minh,"Python, AWS, GCP, Azure, JavaScript",Sample data for demo purposes
Data Analyst,Junior,13 triệu,Ho Chi Minh,"Machine Learning, SQL",Sample data for demo purposes
Software Engineer,Mid-level,35 triệu,Ho Chi Minh,"GCP, Machine Learning, Python, Deep Learning",Sample data for demo purposes
Frontend Developer,Intern,8 triệu,Ho Chi Minh,"Java, Azure, Node.js, GCP",Sample data for demo purposes
Data Scientist,Senior,65 triệu,Hanoi,"AWS, GCP, Python",Sample data for demo purposes
DevOps Engineer,Senior,50 triệu,Ho Chi Minh,"Kubernetes, AWS, Node.js, Docker",Sample data for demo purposes
Project Manager,Intern,10 triệu,Hanoi,"NoSQL, Machine Learning, Docker, Kubernetes, React",Sample data for demo purposes
Software Engineer,Junior,8 triệu,Ho Chi Minh,"Kubernetes, JavaScript, AWS",Sample data for demo purposes
Data Analyst,Mid-level,25 triệu,Ho Chi Minh,"Azure, GCP, Deep Learning, Docker, React",Sample data for demo purposes
DevOps Engineer,Junior,25 triệu,Ho Chi Minh,"Kubernetes, JavaScript, React, Azure",Sample data for demo purposes
Backend Developer,Mid-level,35 triệu,Ho Chi Minh,"Node.js, GCP, Kubernetes, Java, JavaScript",Sample data for demo purposes
Mobile Developer,Intern,8 triệu,Remote,"GCP, Python, JavaScript",Sample data for demo purposes
Fullstack Developer,Manager,120 triệu,Ho Chi Minh,"AWS, JavaScript, Java",Sample data for demo purposes
Frontend Developer,Senior,60 triệu,Da Nang,"Machine Learning, NoSQL, Docker, Python",Sample data for demo purposes
Project Manager,Mid-level,20 triệu,Ho Chi Minh,"Deep Learning, Java, JavaScript",Sample data for demo purposes
Backend Developer,Intern,8 triệu,Ho Chi Minh,"Node.js, Kubernetes, Deep Learning",Sample data for demo purposes
Backend Developer,Intern,9 triệu,Ho Chi Minh,"Java, Docker, SQL",Sample data for demo purposes
Data Scientist,Senior,35 triệu,Ho Chi Minh,"Azure, Kubernetes, SQL, NoSQL",Sample data for demo purposes
Frontend Developer,Mid-level,35 triệu,Others,"Java, GCP",Sample data for demo purposes
Mobile Developer,Manager,125 triệu,Ho Chi Minh,"React, Docker, GCP, Deep Learning",Sample data for demo purposes
Product Manager,Mid-level,35 triệu,Hanoi,"Docker, Machine Learning, Deep Learning",Sample data for demo purposes
Data Scientist,Junior,25 triệu,Ho Chi Minh,"Java, Machine Learning, Node.js, SQL",Sample data for demo purposes
QA Engineer,Mid-level,45 triệu,Ho Chi Minh,"SQL, AWS, Azure, Kubernetes, JavaScript",Sample data for demo purposes
Data Analyst,Junior,25 triệu,Ho Chi Minh,"Docker, Deep Learning, SQL, Java",Sample data for demo purposes
Software Engineer,Senior,65 triệu,Remote,"React, GCP",Sample data for demo purposes
Data Analyst,Mid-level,40 triệu,Others,"Python, JavaScript, Kubernetes, NoSQL, SQL",Sample data for demo purposes
Software Engineer,Junior,15 triệu,Hanoi,"GCP, Kubernetes, Machine Learning",Sample data for demo purposes
Data Analyst,Mid-level,45 triệu,Hanoi,"JavaScript, AWS, Java, Deep Learning",Sample data for demo purposes
Fullstack Developer,Mid-level,19 triệu,Hanoi,"JavaScript, AWS",Sample data for demo purposes
QA Engineer,Junior,20 triệu,Ho Chi Minh,"Machine Learning, React",Sample data for demo purposes
Product Manager,Intern,9 triệu,Hanoi,"Deep Learning, Azure, React, JavaScript",Sample data for demo purposes
Backend Developer,Senior,75 triệu,Remote,"JavaScript, Azure, Python",Sample data for demo purposes
Product Manager,Junior,25 triệu,Hanoi,"NoSQL, Azure",Sample data for demo purposes
Data Scientist,Mid-level,25 triệu,Hanoi,"AWS, Kubernetes",Sample data for demo purposes
DevOps Engineer,Mid-level,35 triệu,Hanoi,"GCP, AWS, Java",Sample data for demo purposes
Product Manager,Junior,25 triệu,Ho Chi Minh,"SQL, React, Deep Learning, NoSQL",Sample data for demo purposes
Project Manager,Manager,155 triệu,Ho Chi Minh,"Node.js, Azure",Sample data for demo purposes
Product Manager,Mid-level,40 triệu,Da Nang,"GCP, Deep Learning, JavaScript, Machine Learning, React",Sample data for demo purposes
Fullstack Developer,Mid-level,40 triệu,Hanoi,"GCP, Deep Learning, NoSQL, React, Kubernetes",Sample data for demo purposes
Software Engineer,Lead,70 triệu,Ho Chi Minh,"JavaScript, Azure, Machine Learning",Sample data for demo purposes
Frontend Developer,Senior,45 triệu,Hanoi,"GCP, Python, Java, SQL",Sample data for demo purposes
Backend Developer,Mid-level,30 triệu,Ho Chi Minh,"SQL, Python, Machine Learning, React, Java",Sample data for demo purposes
Fullstack Developer,Junior,25 triệu,Remote,"AWS, JavaScript, React, Kubernetes",Sample data for demo purposes
Fullstack Developer,Junior,18 triệu,Others,"Node.js, Azure",Sample data for demo purposes
Data Analyst,Mid-level,45 triệu,Ho Chi Minh,"JavaScript, Java, Azure",Sample data for demo purposes
Data Scientist,Mid-level,40 triệu,Hanoi,"Kubernetes, React, Deep Learning, AWS, SQL",Sample data for demo purposes
Backend Developer,Senior,35 triệu,Ho Chi Minh,"Machine Learning, JavaScript, GCP, Azure, Kubernetes",Sample data for demo purposes
Data Analyst,Senior,40 triệu,Ho Chi Minh,"React, Python, Node.js, NoSQL",Sample data for demo purposes
Data Scientist,Manager,100 triệu,Hanoi,"Java, Kubernetes, Azure",Sample data for demo purposes
Software Engineer,Junior,15 triệu,Da Nang,"SQL, Node.js, Python, Java, React",Sample data for demo purposes
Project Manager,Senior,40 triệu,Ho Chi Minh,"Azure, Deep Learning, React, Kubernetes",Sample data for demo purposes
Project Manager,Senior,60 triệu,Others,"Machine Learning, Docker",Sample data for demo purposes
Mobile Developer,Junior,20 triệu,Hanoi,"React, Azure, NoSQL, Deep Learning, GCP",Sample data for demo purposes
